title,director,cast,country,date_added,release_year,rating,genres,language,popularity,vote_count,vote_average,budget,revenue,rating_tier,year_added,month_added,movie_age
If I Stay,R. J. Cutler,"Chloë Grace Moretz, Jamie Blackley, Liana Liberato, Mireille Enos, Joshua Leonard",United States of America,8/21/2014,2014,7.37,Drama,en,23.162,4203,7.37,11000000,78300000,Good,2014,August,11
The Prince,Brian A. Miller,"Bruce Willis, Jason Patric, John Cusack, Jessica Lowndes, Gia Mantegna","South Korea, United States of America",8/22/2014,2014,4.9,"Thriller, Action",en,23.123,489,4.9,18000000,1289595,Poor,2014,August,11
Endless Love,Shana Feste,"Alex Pettyfer, Gabriella Wilde, Bruce Greenwood, Rhys Wakefield, Joely Richardson",United States of America,2/12/2014,2014,6.9,"Drama, Romance",en,23.048,1697,6.9,20000000,34100000,Good,2014,February,11
The Story of Ong-nyeo,Gyeong Seok-Ho,"Han Chae-you, Kang Kyung-woo, Shin Yu-ju, Kim Tae-hoon, Gil Son",South Korea,8/21/2014,2014,5,Romance,ko,23.045,4,5,,,Poor,2014,August,11
The Science of Interstellar,Gail Willumsen,"Matthew McConaughey, Kip Thorne, Christopher Nolan, Jonathan Nolan, Emma Thomas",United States of America,11/13/2014,2014,6.7,Documentary,en,22.865,32,6.7,,,Good,2014,November,11
The High Pressures,Ángel Santos,"Itsaso Arana, Juan Blanco, Xabier Deive, Fernando Epelde, Andrés Gertrúdix",Spain,11/10/2014,2014,6.9,Drama,es,22.809,5,6.9,,,Good,2014,November,11
3 Days to Kill,McG,"Kevin Costner, Amber Heard, Hailee Steinfeld, Connie Nielsen, Tómas Lemarquis","France, United States of America",2/14/2014,2014,6.091,"Action, Drama, Thriller",en,22.788,2177,6.091,28000000,53260230,Average,2014,February,11
Escobar: Paradise Lost,Andrea Di Stefano,"Benicio del Toro, Josh Hutcherson, Brady Corbet, Claudia Traisac, Carlos Bardem","Belgium, France, Spain",10/11/2014,2014,6.274,"Thriller, Romance",en,22.785,771,6.274,17000000,3758328,Average,2014,October,11
Into the Woods,Rob Marshall,"Anna Kendrick, Meryl Streep, James Corden, Emily Blunt, Daniel Huttlestone",United States of America,12/24/2014,2014,5.8,"Fantasy, Comedy",en,22.649,4256,5.8,50000000,212902372,Average,2014,December,11
Parasyte: Part 1,Takashi Yamazaki,"Shota Sometani, Eri Fukatsu, Ai Hashimoto, Kazuki Kitamura, Masahiro Higashide",Japan,11/29/2014,2014,7.114,"Science Fiction, Horror, Action, Drama",ja,22.497,284,7.114,,9649013,Good,2014,November,11
Ride Along,Tim Story,"Ice Cube, Kevin Hart, John Leguizamo, Bruce McGill, Tika Sumpter",United States of America,1/7/2014,2014,6.3,"Action, Comedy",en,22.497,2271,6.3,25000000,153997819,Average,2014,January,11
Avengers Confidential: Black Widow & Punisher,Kenichi Shimizu,"Miyuki Sawashiro, Tessyo Genda, Hideaki Tezuka, Hiroki Touchi, Ryuuzaburou Ootomo",Japan,4/19/2014,2014,6.3,"Animation, Science Fiction, Action",ja,22.182,260,6.3,,,Average,2014,April,11
13 Sins,Daniel Stamm,"Mark Webber, Devon Graye, Tom Bower, Ron Perlman, Rutina Wesley",United States of America,4/11/2014,2014,6.3,"Horror, Thriller",en,21.946,1111,6.3,5000000,13809,Average,2014,April,11
Into the Storm,Steven Quale,"Richard Armitage, Sarah Wayne Callies, Matt Walsh, Max Deacon, Alycia Debnam-Carey",United States of America,8/6/2014,2014,6.053,"Action, Thriller",en,21.845,2048,6.053,50000000,160600000,Average,2014,August,11
This Is Where I Leave You,Shawn Levy,"Jason Bateman, Tina Fey, Jane Fonda, Adam Driver, Rose Byrne",United States of America,9/10/2014,2014,6.6,"Drama, Comedy",en,21.626,1351,6.6,19800000,41300000,Good,2014,September,11
God's Not Dead,Harold Cronk,"Kevin Sorbo, Shane Harper, David A.R. White, Dean Cain, Cassidy Gifford",United States of America,3/21/2014,2014,6.007,Drama,en,21.607,906,6.007,17000000,29789000,Average,2014,March,11
St. Vincent,Theodore Melfi,"Bill Murray, Melissa McCarthy, Jaeden Martell, Naomi Watts, Chris O'Dowd",United States of America,10/9/2014,2014,7.1,Comedy,en,21.489,1915,7.1,13000000,54837234,Good,2014,October,11
Still Alice,"Richard Glatzer, Wash Westmoreland","Julianne Moore, Kate Bosworth, Shane McRae, Hunter Parrish, Alec Baldwin","France, United Kingdom, United States of America",12/5/2014,2014,7.485,Drama,en,21.371,3100,7.485,5000000,44779195,Good,2014,December,11
Rurouni Kenshin Part II: Kyoto Inferno,Keishi Otomo,"Takeru Satoh, Emi Takei, Munetaka Aoki, Kaito Oyagi, Yu Aoi",Japan,8/1/2014,2014,7.606,"Action, Adventure, Drama, Fantasy",ja,21.157,587,7.606,,,Good,2014,August,11
Wild Tales,Damián Szifron,"Ricardo Darín, Leonardo Sbaraglia, Érica Rivas, Oscar Martínez, Rita Cortese","Argentina, Spain",8/21/2014,2014,7.9,"Drama, Thriller, Comedy",es,21.135,3432,7.9,4000000,31478893,Good,2014,August,11
The Signal,William Eubank,"Brenton Thwaites, Olivia Cooke, Beau Knapp, Laurence Fishburne, Robert Longstreet",United States of America,3/15/2014,2014,6.013,"Thriller, Science Fiction",en,21.108,1691,6.013,4000000,2665322,Average,2014,March,11
No Thank You,Samuli Valkama,"Anu Sinisalo, Ville Virtanen, Wanda Dubiel, Rosa Salomaa, Kai Vaine",Finland,1/10/2014,2014,4.9,"Drama, Comedy",fi,20.667,12,4.9,1600000,,Poor,2014,January,11
Blue Ruin,Jeremy Saulnier,"Macon Blair, Devin Ratray, Amy Hargreaves, Kevin Kolack, Eve Plumb",United States of America,4/25/2014,2014,6.797,"Crime, Thriller",en,20.54,1466,6.797,420000,993313,Good,2014,April,11
Who Am I,Baran bo Odar,"Tom Schilling, Elyas M'Barek, Wotan Wilke Möhring, Antoine Monot Jr., Hannah Herzsprung",Germany,9/25/2014,2014,7.6,Thriller,de,20.498,1567,7.6,,7700259,Good,2014,September,11
"Monster High: Frights, Camera, Action!","Sylvain Blais, William Lau","Debi Derryberry, Salli Saffioti, Julie Maddalena, James Horan, Cam Clarke",United States of America,3/25/2014,2014,7.5,"Family, Animation, Fantasy",en,20.441,138,7.5,,,Good,2014,March,11
Detective Conan: Dimensional Sniper,Kobun Shizuno,"Minami Takayama, Kappei Yamaguchi, Wakana Yamazaki, Rikiya Koyama, Noriko Hidaka",Japan,4/19/2014,2014,6.9,"Animation, Action, Drama, Mystery",ja,20.343,115,6.9,,42028116,Good,2014,April,11
Brick Mansions,Camille Delamarre,"Paul Walker, David Belle, RZA, Robert Maillet, Carlo Rota","Canada, France, United States of America",4/22/2014,2014,5.9,"Action, Crime, Drama",en,20.285,1522,5.9,28000000,71416730,Average,2014,April,11
The Admiral: Roaring Currents,Kim Han-min,"Choi Min-sik, Ryu Seung-ryong, Cho Jin-woong, Jin Goo, Lee Jung-hyun",South Korea,7/30/2014,2014,6.966,"War, Action, Drama, History",ko,20.261,293,6.966,9500000,138342258,Good,2014,July,11
Taste,"Kyung Seokho, Gyeong Seok-Ho","Jung Myung-seo, Yoo Da-eun, Hee-jeong, Lee Eun-mi, Kim Jin-seon",South Korea,1/16/2014,2014,6,Drama,ko,20.256,4,6,,,Average,2014,January,11
Boyhood,Richard Linklater,"Ellar Coltrane, Patricia Arquette, Ethan Hawke, Lorelei Linklater, Libby Villari",United States of America,6/5/2014,2014,7.5,Drama,en,20.252,5206,7.5,4000000,48137666,Good,2014,June,11
Flower & Snake: Zero,Hajime Hashimoto,"Maiko Amano, Noriko Hamada, Rina Sakuragi, Kanji Tsuda, Naoki Kawano",Japan,5/17/2014,2014,6.263,"Mystery, Thriller, Drama",ja,20.063,38,6.263,,,Average,2014,May,11
Selma,Ava DuVernay,"David Oyelowo, Carmen Ejogo, Tom Wilkinson, Giovanni Ribisi, Tim Roth","France, United Kingdom, United States of America",12/25/2014,2014,7.394,"History, Drama",en,20.045,2206,7.394,20000000,66787908,Good,2014,December,11
What We Do in the Shadows,"Taika Waititi, Jemaine Clement","Jemaine Clement, Taika Waititi, Jonny Brugh, Cori Gonzalez-Macuer, Stu Rutherford","New Zealand, United States of America",6/19/2014,2014,7.6,"Comedy, Horror",en,19.825,3603,7.6,1600000,6300000,Good,2014,June,11
Begin Again,John Carney,"Mark Ruffalo, Keira Knightley, Adam Levine, Hailee Steinfeld, Catherine Keener",United States of America,7/3/2014,2014,7.2,"Comedy, Music, Romance, Drama",en,19.688,3798,7.2,8000000,63500000,Good,2014,July,11
Third Person,Paul Haggis,"Liam Neeson, Mila Kunis, Adrien Brody, James Franco, Olivia Wilde","Belgium, Germany, United Kingdom, United States of America",6/20/2014,2014,5.9,"Drama, Romance",en,19.668,604,5.9,28000000,1749201,Average,2014,June,11
The Hundred-Foot Journey,Lasse Hallström,"Helen Mirren, Manish Dayal, Om Puri, Charlotte Le Bon, Rohan Chand","India, United States of America, United Arab Emirates",8/6/2014,2014,7.3,"Drama, Comedy",en,19.578,1443,7.3,22000000,89500000,Good,2014,August,11
Rise of the Legend,Roy Chow Hin-Yeung,"Eddie Peng Yu-Yan, AngelaBaby, Sammo Hung Kam-Bo, Tony Leung Ka-Fai, Jing Boran",Hong Kong,11/20/2014,2014,6.3,"Drama, Action",zh,19.542,190,6.3,,30932534,Average,2014,November,11
Camp X-Ray,Peter Sattler,"Kristen Stewart, Payman Maadi, Lane Garrison, J. J. Soria, John Carroll Lynch",United States of America,10/17/2014,2014,6.73,Drama,en,19.478,1028,6.73,1000000,59744,Good,2014,October,11
Sub Rosa,Krisstian de Lara,"Julie Kendall, Mario Nalini, Mario Temes",United States of America,8/10/2014,2014,6,"Drama, Romance",en,19.452,14,6,,,Average,2014,August,11
The Cobbler,Tom McCarthy,"Adam Sandler, Method Man, Dustin Hoffman, Steve Buscemi, Melonie Diaz",United States of America,9/11/2014,2014,5.8,"Fantasy, Comedy, Drama",en,19.382,1671,5.8,,,Average,2014,September,11
Box Room,Michael Lathrop,"David Joseph Magee, Erika McGann, Killian Coyle, Roxanne Josephine, Amanda Coakley",Ireland,3/8/2014,2014,5.3,"Science Fiction, Drama, Horror",en,19.365,9,5.3,,,Average,2014,March,11
Deadly Virtues: Love. Honour. Obey.,Ate de Jong,"Edward Akrout, Matt Barber, Megan Maczko, Helen Bradbury, Sadie Frost","Netherlands, United Kingdom",12/6/2014,2014,4.727,"Thriller, Drama",en,19.364,44,4.727,,,Poor,2014,December,11
The Monuments Men,George Clooney,"George Clooney, Matt Damon, Bill Murray, John Goodman, Cate Blanchett","Germany, United States of America",1/24/2014,2014,6.1,"War, Drama, History, Action",en,19.301,3623,6.1,70000000,154984035,Average,2014,January,11
The Legend of Hercules,Renny Harlin,"Kellan Lutz, Liam McIntyre, Gaia Weiss, Scott Adkins, Roxanne McKee","Bulgaria, United States of America",1/10/2014,2014,4.8,"Action, Adventure",en,19.3,1331,4.8,70000000,61279452,Poor,2014,January,11
Sabotage,David Ayer,"Arnold Schwarzenegger, Sam Worthington, Olivia Williams, Mireille Enos, Joe Manganiello",United States of America,3/28/2014,2014,5.6,"Action, Drama, Thriller, Crime",en,19.198,1427,5.6,35000000,22126842,Average,2014,March,11
Playing It Cool,Justin Reardon,"Chris Evans, Michelle Monaghan, Topher Grace, Aubrey Plaza, Luke Wilson",United States of America,9/26/2014,2014,5.9,"Comedy, Romance",en,19.178,762,5.9,,1323415,Average,2014,September,11
"I, Frankenstein",Stuart Beattie,"Aaron Eckhart, Yvonne Strahovski, Bill Nighy, Jai Courtney, Miranda Otto","Australia, United States of America",1/22/2014,2014,5.356,"Horror, Thriller",en,19.083,1940,5.356,65000000,76801179,Average,2014,January,11
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Miguel Arteta,"Steve Carell, Jennifer Garner, Ed Oxenbould, Dylan Minnette, Kerris Dorsey",United States of America,10/8/2014,2014,6.191,"Family, Comedy",en,19.064,1341,6.191,28000000,100654149,Average,2014,October,11
Creep,Patrick Brice,"Mark Duplass, Patrick Brice, Katie Aselton",United States of America,6/23/2014,2014,6.374,Horror,en,19.031,1443,6.374,,,Average,2014,June,11
Serial (Bad) Weddings,Philippe de Chauveron,"Christian Clavier, Chantal Lauby, Ary Abittan, Medi Sadoun, Frédéric Chau",France,4/16/2014,2014,6.7,Comedy,fr,18.917,3413,6.7,13000000,176404493,Good,2014,April,11
The Gambler,Rupert Wyatt,"Mark Wahlberg, John Goodman, Brie Larson, Michael Kenneth Williams, George Kennedy",United States of America,12/25/2014,2014,6,"Thriller, Crime, Drama",en,18.725,1430,6,25000000,39171130,Average,2014,December,11
Falcon Rising,Ernie Barbarash,"Michael Jai White, Neal McDonough, Lateef Crowder, Laila Ali, Hazuki Kato",United States of America,9/5/2014,2014,6.3,"Adventure, Action",en,18.716,347,6.3,4500000,11774,Average,2014,September,11
A Girl Walks Home Alone at Night,Ana Lily Amirpour,"Sheila Vand, Arash Marandi, Marshall Manesh, Mozhan Navabi, Dominic Rains",United States of America,11/21/2014,2014,6.8,"Horror, Romance",en,18.51,874,6.8,1000000,395000,Good,2014,November,11
About Last Night,Steve Pink,"Kevin Hart, Michael Ealy, Regina Hall, Joy Bryant, Christopher McDonald",United States of America,2/14/2014,2014,6,"Comedy, Romance",en,18.488,506,6,12500000,49002684,Average,2014,February,11
Tazza: The Hidden Card,Kang Hyung-chul,"Choi Seung-hyun, Shin Se-kyung, Kwak Do-won, Lee Ha-nee, Yoo Hai-jin",South Korea,9/3/2014,2014,7,"Crime, Drama",ko,18.464,85,7,,31278476,Good,2014,September,11
The Nut Job,Peter Lepeniotis,"Will Arnett, Brendan Fraser, Liam Neeson, Katherine Heigl, Stephen Lang","Canada, South Korea, United States of America",1/17/2014,2014,5.792,"Animation, Comedy, Family, Adventure",en,18.434,972,5.792,42000000,122500000,Average,2014,January,11
Rurouni Kenshin Part III: The Legend Ends,Keishi Otomo,"Takeru Satoh, Emi Takei, Munetaka Aoki, Yu Aoi, Kaito Oyagi",Japan,9/13/2014,2014,7.722,"Action, Adventure, Fantasy",ja,18.374,505,7.722,,,Good,2014,September,11
Kick,Sajid Nadiadwala,"Salman Khan, Jacqueline Fernandez, Randeep Hooda, Nawazuddin Siddiqui, Mithun Chakraborty",India,7/25/2014,2014,5.7,"Action, Romance, Comedy, Crime",hi,18.234,154,5.7,22000000,55000000,Average,2014,July,11
The Secret Sex Life of a Single Mom,John L'Ecuyer,"Ashley Jones, Alex Carter, Scott Gibson, Cynthia Preston, Jeff Roop",Canada,5/31/2014,2014,5.1,"Drama, Mystery, Romance, TV Movie",en,17.753,23,5.1,90,,Average,2014,May,11
PK,Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Saurabh Shukla, Boman Irani, Sushant Singh Rajput",India,12/18/2014,2014,7.7,"Comedy, Drama, Science Fiction",hi,17.746,1016,7.7,13000000,118920000,Good,2014,December,11
Sorry If I Call You Love,Joaquín Llamas,"Paloma Bloyd, Daniele Liotti, Irene Montalà, Andrea Duro, Cristina Brondo",Spain,6/20/2014,2014,7.4,"Romance, Drama",es,17.722,470,7.4,,,Good,2014,June,11
Dragons: Dawn of the Dragon Racers,"Elaine Bogan, John Sanford","Jay Baruchel, America Ferrera, Christopher Mintz-Plasse, T.J. Miller, Tim Conway",United States of America,11/1/2014,2014,7.3,"Animation, Family, Adventure, Comedy, Fantasy",en,17.705,349,7.3,,,Good,2014,November,11
The Invisible Boy,Gabriele Salvatores,"Ludovico Girardello, Valeria Golino, Fabrizio Bentivoglio, Noa Zatta, Christo Jivkov","France, Italy",12/18/2014,2014,6.3,"Comedy, Adventure, Science Fiction, Fantasy",it,17.686,945,6.3,8000000,5216102,Average,2014,December,11
Barbie: The Pearl Princess,Ezekiel Norton,"Kelly Sheridan, Katie Crown, Mark Oliver, Rebecca Shoichet, Trish Pattendon","Canada, United States of America",2/15/2014,2014,6.993,"Family, Animation",en,17.589,335,6.993,,,Good,2014,February,11
Kite,Ralph Ziman,"Samuel L. Jackson, Callan McAuliffe, India Eisley, Carl Beukes, Jaco Muller","South Africa, Mexico",6/13/2014,2014,4.3,"Drama, Action",en,17.56,242,4.3,,,Poor,2014,June,11
Everly,Joe Lynch,"Salma Hayek Pinault, Hiroyuki Watanabe, Laura Cepeda, Togo Igawa, Akie Kotabe",United States of America,9/20/2014,2014,5.511,"Thriller, Action",en,17.506,594,5.511,,358156,Average,2014,September,11
Rape Zombie: Lust of the Dead 5,Naoyuki Tomomatsu,"Meguri, Yui Aikawa, Asami, Mikoto, Yûya Takayama",Japan,9/3/2014,2014,7.3,Horror,ja,17.481,75,7.3,,,Good,2014,September,11
Pokémon the Movie: Diancie and the Cocoon of Destruction,Kunihiko Yuyama,"Rica Matsumoto, Ikue Otani, Mayuki Makiguchi, Yuki Kaji, Mariya Ise",Japan,7/19/2014,2014,6.6,"Animation, Family, Adventure, Action, Comedy, Drama",ja,17.465,182,6.6,24720400,28595105,Good,2014,July,11
Barefoot,Andrew Fleming,"Evan Rachel Wood, Scott Speedman, J.K. Simmons, Treat Williams, Kate Burton",United States of America,2/2/2014,2014,6.6,"Comedy, Drama, Romance",en,17.462,628,6.6,6000000,15071,Good,2014,February,11
The White Haired Witch of Lunar Kingdom,Jacob Cheung,"Fan Bingbing, Huang Xiaoming, Vincent Zhao Wenzhuo, Wang Xuebing, Ni Dahong",China,2/14/2014,2014,6.292,Fantasy,zh,17.454,106,6.292,,,Average,2014,February,11
The Good Lie,Philippe Falardeau,"Reese Witherspoon, Corey Stoll, Thad Luckinbill, Sarah Baker, Maria Howell","India, Kenya, United States of America",9/10/2014,2014,7.3,Drama,en,17.394,493,7.3,20000000,3396345,Good,2014,September,11
Interstellar: Nolan's Odyssey,Dan Storey,"Alex Zane, Michael Caine, Jessica Chastain, Anne Hathaway, Hugh Jackman",United Kingdom,11/5/2014,2014,7.736,"Documentary, TV Movie",en,17.302,180,7.736,,,Good,2014,November,11
No Tears for the Dead,Lee Jeong-beom,"Jang Dong-gun, Kim Min-hee, Brian Tee, Kim Min-jae, Jun Kim",South Korea,6/4/2014,2014,7.2,"Action, Thriller, Drama",ko,17.236,270,7.2,,4500000,Good,2014,June,11
The Last Survivors,Tom Hammock,"Haley Lu Richardson, Booboo Stewart, Max Charles, Nicole Fox, Michael Welch",United States of America,6/12/2014,2014,6.1,"Horror, Thriller, Action",en,17.219,215,6.1,,,Average,2014,June,11
Black Sea,Kevin Macdonald,"Jude Law, Karl Davies, Jodie Whittaker, Daniel Ryan, Scoot McNairy","United Kingdom, United States of America, Russia",12/5/2014,2014,6.258,"Adventure, Drama, Thriller",en,17.206,1109,6.258,8000000,4070789,Average,2014,December,11
Rage,Paco Cabezas,"Nicolas Cage, Aubrey Shea, Rachel Nichols, Peter Stormare, Danny Glover","France, United States of America",5/9/2014,2014,5.3,"Action, Crime, Thriller",en,17.162,753,5.3,15000000,2424381,Average,2014,May,11
Wild,Jean-Marc Vallée,"Reese Witherspoon, Laura Dern, Keene McRae, Gaby Hoffmann, Michiel Huisman",United States of America,12/5/2014,2014,7,Drama,en,17.101,2506,7,15000000,52501541,Good,2014,December,11
Ask Me Anything,Allison Burnett,"Britt Robertson, Molly Hagan, Andy Buckley, Robert Patrick, Zuleikha Robinson",United States of America,4/19/2014,2014,5.6,Drama,en,17.094,408,5.6,950000,,Average,2014,April,11
Justice League: War,Jay Oliva,"Michelle Monaghan, Alan Tudyk, Sean Astin, Shemar Moore, Christopher Gorham",United States of America,1/21/2014,2014,7.406,"Animation, Action",en,17.094,1083,7.406,3500000,5155325,Good,2014,January,11
Scooby-Doo! WrestleMania Mystery,Brandon Vietti,"Frank Welker, Matthew Lillard, Grey DeLisle, Mindy Cohn, April Jeanette Mendez",United States of America,3/11/2014,2014,7.4,"Animation, Comedy, Family, Mystery",en,17.067,320,7.4,,,Good,2014,March,11
Asterix: The Mansions of the Gods,"Alexandre Astier, Louis Clichy","Roger Carel, Alexandre Astier, Lionnel Astier, Serge Papagalli, François Morel","Belgium, France",11/26/2014,2014,6.8,"Animation, Comedy, Adventure, Family",fr,17.016,1377,6.8,30000000,51379470,Good,2014,November,11
X+Y,Morgan Matthews,"Asa Butterfield, Rafe Spall, Sally Hawkins, Eddie Marsan, Jo Yang",United Kingdom,3/13/2014,2014,6.683,Drama,en,16.918,567,6.683,,,Good,2014,March,11
Dragon Nest: Warriors' Dawn,Yuefeng Song,"Shen Dawei, Xu Jiao, Ye Sun, Hu Ge, Jing Tian","China, France, United States of America",5/20/2014,2014,7.6,"Fantasy, Animation",zh,16.91,135,7.6,40000000,,Good,2014,May,11
Han Gong-ju,Lee Su-jin,"Chun Woo-hee, Jung In-sun, Kim So-young, Lee Young-lan, Kwon Beom-taek",South Korea,4/17/2014,2014,7.2,Drama,ko,16.905,112,7.2,,,Good,2014,April,11
Flowers in the Attic,Deborah Chow,"Heather Graham, Kiernan Shipka, Mason Dye, Ava Telek, Maxwell Kovach",Canada,1/18/2014,2014,6.7,"Drama, Mystery, Thriller, TV Movie",en,16.879,370,6.7,,,Good,2014,January,11
A Most Wanted Man,Anton Corbijn,"Philip Seymour Hoffman, Willem Dafoe, Robin Wright, Rachel McAdams, Grigoriy Dobrygin","Belgium, Germany, United Kingdom, United States of America",7/25/2014,2014,6.475,Thriller,en,16.857,1375,6.475,15000000,31554855,Average,2014,July,11
The Pirates,Lee Suk-hoon,"Son Ye-jin, Kim Nam-gil, Oh Dal-su, Park Cheol-min, Yoo Hai-jin",South Korea,8/6/2014,2014,7,"Action, Adventure, Comedy, Fantasy",ko,16.801,221,7,13000000,64400000,Good,2014,August,11
Cake,Daniel Barnz,"Jennifer Aniston, Adriana Barraza, Anna Kendrick, Sam Worthington, Mamie Gummer",United States of America,9/7/2014,2014,6.3,Drama,en,16.644,899,6.3,7000000,2360281,Average,2014,September,11
Black Butler: Book of Murder,Noriyuki Abe,"Daisuke Ono, Maaya Sakamoto, Ryohei Kimura, Shintaro Asanuma, Junichi Suwabe",Japan,10/25/2014,2014,8.1,"Mystery, Animation, Adventure, Action",ja,16.493,56,8.1,,,Excellent,2014,October,11
Frontera,Michael Berry,"Ed Harris, Eva Longoria, Michael Peña, Amy Madigan, Kristen DeVore Rakes",United States of America,7/31/2014,2014,6.516,"Western, Drama",en,16.384,186,6.516,,,Good,2014,July,11
Naked Ambition 3D,Lee Kung-Lok,"Chapman To Man-Chat, Josie Ho, Louis Koo, Taka Katou, Maiko Yuki",Hong Kong,3/25/2014,2014,5.2,Comedy,cn,16.254,40,5.2,,,Average,2014,March,11
The Woman in Black 2: Angel of Death,Tom Harper,"Phoebe Fox, Helen McCrory, Jeremy Irvine, Oaklee Pendergast, Ned Dennehy","Canada, United Kingdom, United States of America",12/30/2014,2014,5.254,"Thriller, Horror, Drama",en,16.192,1020,5.254,15000000,48854305,Average,2014,December,11
10.0 Earthquake,David Gidali,"Heather Sossaman, Henry Ian Cusick, Cameron Richardson, Chasty Ballesteros, Jeffrey Jones",United States of America,10/15/2014,2014,4.942,"Drama, Adventure, Action",en,16.13,121,4.942,,,Poor,2014,October,11
Leprechaun: Origins,Zach Lipovsky,"Stephanie Bennett, Andrew Dunbar, Melissa Roxburgh, Brendan Fletcher, Garry Chalk",United States of America,8/22/2014,2014,4.5,Horror,en,16.105,244,4.5,,,Poor,2014,August,11
'71,Yann Demange,"Jack O'Connell, Sean Harris, Paul Anderson, Sam Reid, Sam Hazeldine",United Kingdom,10/10/2014,2014,6.803,"Thriller, Action, Drama, War",en,15.869,1135,6.803,11000000,3200000,Good,2014,October,11
In Darkness We Fall,Alfredo Montero,"Marta Castellote, Xoel Fernández, Eva García-Vacas, Marcos Ortiz, Jorge López Páez",Spain,1/24/2014,2014,5.8,"Horror, Adventure",es,15.827,169,5.8,,,Average,2014,January,11
Flight 7500,Takashi Shimizu,"Ryan Kwanten, Amy Smart, Leslie Bibb, Jamie Chung, Scout Taylor-Compton","Japan, United States of America",5/16/2014,2014,4.9,"Thriller, Horror, Mystery",en,15.817,553,4.9,,,Poor,2014,May,11
Hector and the Search for Happiness,Peter Chelsom,"Simon Pegg, Rosamund Pike, Toni Collette, Stellan Skarsgård, Christopher Plummer","Canada, China, Germany, South Africa, United Kingdom, United States of America",8/14/2014,2014,6.707,"Adventure, Drama, Comedy",en,15.77,880,6.707,,1124445,Good,2014,August,11
A Merry Friggin' Christmas,Tristram Shapeero,"Joel McHale, Lauren Graham, Clark Duke, Oliver Platt, Wendi McLendon-Covey",United States of America,11/7/2014,2014,5.4,Comedy,en,15.747,243,5.4,,,Average,2014,November,11
Think Like a Man Too,Tim Story,"Adam Brody, Michael Ealy, Jerry Ferrara, Meagan Good, Regina Hall",United States of America,6/20/2014,2014,6.4,"Comedy, Romance",en,15.738,557,6.4,24000000,70181428,Average,2014,June,11
Mommy,Xavier Dolan,"Anne Dorval, Suzanne Clément, Antoine Olivier Pilon, Patrick Huard, Alexandre Goyette",Canada,9/19/2014,2014,8.2,Drama,fr,15.709,2736,8.2,4900000,3494070,Excellent,2014,September,11
Winter's Tale,Akiva Goldsman,"Colin Farrell, Jessica Brown Findlay, Russell Crowe, William Hurt, Jennifer Connelly",United States of America,2/13/2014,2014,6.3,"Drama, Fantasy, Mystery, Romance",en,15.616,1343,6.3,60000000,30800231,Average,2014,February,11
Serena,Susanne Bier,"Jennifer Lawrence, Bradley Cooper, Rhys Ifans, Toby Jones, Blake Ritson",United States of America,10/12/2014,2014,5.599,Drama,en,15.598,1027,5.599,30000000,5092129,Average,2014,October,11
The Rover,David Michôd,"Guy Pearce, Robert Pattinson, Scoot McNairy, David Field, Susan Prior",Australia,6/4/2014,2014,6.3,"Crime, Drama",en,15.553,950,6.3,12250000,2510007,Average,2014,June,11
Unfriended,Levan Gabriadze,"Shelley Hennig, Heather Sossaman, Renee Olstead, Matthew Bohrer, Moses Storm",United States of America,10/22/2014,2014,5.5,"Horror, Mystery, Thriller",en,15.527,3356,5.5,1000000,62900000,Average,2014,October,11
Tamako Love Story,Naoko Yamada,"Aya Suzaki, Atsushi Tamaru, Yuri Yamaoka, Yuki Kaneko, Juri Nagatsuma",Japan,4/26/2014,2014,7.1,"Romance, Animation, Comedy",ja,15.513,169,7.1,,,Good,2014,April,11
Before We Go,Chris Evans,"Chris Evans, Alice Eve, Emma Fitzpatrick, Mark Kassen, Daniel Spink",United States of America,9/4/2014,2014,6.7,"Comedy, Drama, Romance",en,15.421,1812,6.7,,37151,Good,2014,September,11
Alien Outpost,Jabbar Raisani,"Joe Reegan, Matthew Holmes, Rick Ravanello, Douglas Tait, Adrian Paul","South Africa, United Kingdom",9/19/2014,2014,5.1,"Thriller, Action, Science Fiction",en,15.404,235,5.1,,,Average,2014,September,11
Haider,Vishal Bhardwaj,"Shahid Kapoor, Tabu, Kay Kay Menon, Shraddha Kapoor, Narendra Jha",India,10/2/2014,2014,7.213,"Crime, Drama",hi,15.374,228,7.213,7000000,11500000,Good,2014,October,11
The Kid,Daniel Monzón,"Jesús Castro, Bárbara Lennie, Moussa Maaskri, Ian McShane, Luis Tosar","France, Morocco, Spain",8/29/2014,2014,6.4,"Drama, Thriller",es,15.365,243,6.4,7013004,,Average,2014,August,11
My Mistress,Stephen Lance,"Emmanuelle Béart, Harrison Gilbertson, Rachael Blake, Socratis Otto, Leah Purcell",Australia,8/14/2014,2014,5.2,"Romance, Drama",en,15.309,61,5.2,,,Average,2014,August,11
Tekken 2: Kazuya's Revenge,Wych Kaosayananda,"Kane Kosugi, Cary-Hiroyuki Tagawa, Gary Daniels, Charlotte Kirk, Rade Šerbedžija",United States of America,8/21/2014,2014,3.9,Action,en,15.272,91,3.9,,,Poor,2014,August,11
