title,director,cast,country,date_added,release_year,rating,genres,language,popularity,vote_count,vote_average,budget,revenue,rating_tier,year_added,month_added,movie_age
Barry,Vikram Gandhi,"Devon Terrell, Anya Taylor-Joy, Jason Mitchell, Ellar Coltrane, Jenna Elfman",United States of America,9/10/2016,2016,5.7,Drama,en,7.475,190,5.7,,,Average,2016,September,9
One Kiss,Ivan Cotroneo,"Rimau Grillo Ritzberger, Valentina Romani, Leonardo Pazzagli, Thomas Trabacchi, Susy Laude",Italy,3/31/2016,2016,6.7,"Romance, Comedy",it,7.449,273,6.7,,,Good,2016,March,9
As You Are,Miles Joris-Peyrafitte,"Owen Campbell, Charlie Heaton, Amandla Stenberg, John Scurti, Scott Cohen",United States of America,12/8/2016,2016,7,Drama,en,7.445,92,7,,,Good,2016,December,9
Hatred,Wojciech Smarzowski,"Michalina Łabacz, Arkadiusz Jakubik, Adrian Zaremba, Lech Dyblik, Dorota Liliental",Poland,10/7/2016,2016,7.33,"War, Drama, History",pl,7.429,132,7.33,,,Good,2016,October,9
Lemonade,"Kahlil Joseph, Beyoncé, Jonas Åkerlund, Mark Romanek, Melina Matsoukas, Dikayl Rimmasch, Todd Tourso","Beyoncé, Jay-Z, Serena Williams, Zendaya, Quvenzhané Wallis",United States of America,4/23/2016,2016,8.4,"Music, TV Movie",en,7.414,160,8.4,,,Excellent,2016,April,9
Hulk: Where Monsters Dwell,Mitch Schauer,"Fred Tatasciore, Liam O'Brien, Jesse Burch, Edward Bosco, Chiara Zanni",United States of America,10/21/2016,2016,6.555,"Action, Animation, Fantasy, Science Fiction",en,7.411,82,6.555,,,Good,2016,October,9
Tower,Keith Maitland,"Violett Beane, Chris Doubek, Blair Jackson, Louie Arnette, Josephine McAdam",United States of America,3/13/2016,2016,7.616,"Animation, Crime, Documentary",en,7.409,189,7.616,,101987,Good,2016,March,9
Michael Jackson's Journey from Motown to Off the Wall,Spike Lee,"Michael Jackson, Quincy Jones, Rosie Perez, Pharrell Williams, Mark Ronson",United States of America,2/6/2016,2016,7,"Music, Documentary",en,7.399,75,7,,,Good,2016,February,9
End of a Gun,Keoni Waxman,"Steven Seagal, Jonathan Rosenthal, Ovidiu Niculescu, Alexandre Nguyen, Florin Piersic Jr.",United States of America,9/23/2016,2016,4.6,"Action, Crime, Thriller",en,7.395,77,4.6,7500000,,Poor,2016,September,9
The Exorcism of Anna Ecklund,Andrew Jones,"Lee Bane, Tiffany Ceri, Jeffrey Raggett, Judith Haley, Rik Grayson",United Kingdom,3/7/2016,2016,3.5,"Thriller, Horror",en,7.383,96,3.5,,,Poor,2016,March,9
In Bed with Victoria,Justine Triet,"Virginie Efira, Vincent Lacoste, Melvil Poupaud, Laurent Poitrenaux, Laure Calamy",France,9/14/2016,2016,5.9,"Comedy, Drama, Romance",fr,7.382,486,5.9,,4971428,Average,2016,September,9
Rupture,Steven Shainberg,"Noomi Rapace, Peter Stormare, Kerry Bishé, Lesley Manville, Michael Chiklis","Canada, United States of America",11/4/2016,2016,4.864,"Thriller, Science Fiction",en,7.382,265,4.864,,,Poor,2016,November,9
Dead Awake,Phillip Guzman,"Jocelin Donahue, Jesse Bradford, Jesse Borrego, Lori Petty, James Eckhouse",United States of America,9/28/2016,2016,5.2,"Horror, Thriller",en,7.377,147,5.2,,,Average,2016,September,9
All We Had,Katie Holmes,"Katie Holmes, Stefania LaVie Owen, Eve Lindley, Richard Kind, Luke Wilson",United States of America,12/9/2016,2016,5.6,Drama,en,7.368,85,5.6,,,Average,2016,December,9
The Asian Connection,Daniel Zirilli,"Steven Seagal, Pim Bubear, John Edward Lee, Byron Gibson, Michael Jai White","Thailand, United States of America",5/13/2016,2016,3.9,"Action, Crime",en,7.366,73,3.9,2000000,,Poor,2016,May,9
Missing,E.oni,"Uhm Ji-won, Gong Hyo-jin, Kim Hee-won, Park Hae-jun, Lee Sung-wook",South Korea,11/30/2016,2016,7,"Drama, Mystery, Thriller",ko,7.359,55,7,,,Good,2016,November,9
Ethel & Ernest,Roger Mainwood,"Jim Broadbent, Brenda Blethyn, Luke Treadaway, Roger Allam, Virginia McKenna",United Kingdom,10/15/2016,2016,7.4,"Animation, Drama, War",en,7.359,114,7.4,,,Good,2016,October,9
Your Lie in April,Takehiko Shinjo,"Kento Yamazaki, Suzu Hirose, Anna Ishii, Taishi Nakagawa, Yuka Itaya",Japan,9/10/2016,2016,7,"Drama, Music, Romance",ja,7.359,52,7,,,Good,2016,September,9
Looking: The Movie,Andrew Haigh,"Jonathan Groff, Frankie J. Alvarez, Murray Bartlett, Lauren Weedman, Russell Tovey",United States of America,7/24/2016,2016,7.146,"Drama, Romance, TV Movie",en,7.359,219,7.146,,,Good,2016,July,9
Recovery,Darrell Wheat,"Rachel DiPillo, Kirby Bliss Blanton, Alex Shaffer, Michael Filipowich, John Pirruccello",United States of America,10/21/2016,2016,5.1,"Horror, Thriller",en,7.351,84,5.1,,,Average,2016,October,9
The Oath,Baltasar Kormákur,"Baltasar Kormákur, Hera Hilmar, Gísli Örn Garðarsson, Margrét Bjarnadóttir, Auður Aradóttir","Germany, Iceland, United Kingdom",9/6/2016,2016,6.1,"Drama, Crime, Thriller",is,7.347,89,6.1,,,Average,2016,September,9
Toro,Kike Maíllo,"Mario Casas, Luis Tosar, José Sacristán, Ingrid García Jonsson, Nya de la Rubia","Spain, France",4/22/2016,2016,6,"Drama, Crime, Thriller",es,7.332,155,6,4000000,1903083,Average,2016,April,9
David Brent: Life on the Road,Ricky Gervais,"Ricky Gervais, Ben Bailey Smith, Rebecca Gethings, Jo Hartley, Andrew Brooke",United Kingdom,8/19/2016,2016,6.108,"Comedy, Music",en,7.327,367,6.108,,,Average,2016,August,9
Nirvana Island: The Last 47 Days,Takeshi Watanabe,"Shunya Shiraishi, Ryohei Suzuki, Haruna Muranaka, Renji Ishibashi, Yuya Endo",Japan,10/15/2016,2016,5.9,Thriller,ja,7.326,7,5.9,,,Average,2016,October,9
The Confirmation,Bob Nelson,"Clive Owen, Jaeden Martell, Maria Bello, Tim Blake Nelson, Patton Oswalt",Canada,3/18/2016,2016,6.4,"Drama, Comedy",en,7.324,181,6.4,,8382,Average,2016,March,9
Chongqing Hot Pot,Yang Qing,"Chen Kun, Bai Baihe, Qin Hao, Yu Entai, Wang Yanlin",China,4/1/2016,2016,6.298,Drama,zh,7.31,57,6.298,,,Average,2016,April,9
DC Films Presents Dawn of the Justice League,Eric Matthies,"Henry Cavill, Ray Fisher, David Ayer, Joel Kinnaman, Will Smith",United States of America,1/19/2016,2016,6,Documentary,en,7.307,68,6,,,Average,2016,January,9
Janatha Garage,Koratala Siva,"N.T. Rama Rao Jr., Mohanlal, Unni Mukundan, Samantha Ruth Prabhu, Nithya Menen",India,9/1/2016,2016,7.3,"Action, Drama",te,7.296,40,7.3,7000000,21000000,Good,2016,September,9
Sairat,Nagraj Popatrao Manjule,"Rinku Rajguru, Akash Thosar, Tanaji Galgunde, Anuja Mule, Suraj Pawar",India,4/29/2016,2016,7.5,"Drama, Romance",mr,7.288,64,7.5,600000,16500000,Good,2016,April,9
The Glassblower,Christiane Balthasar,"Luise Heyer, Maria Ehrich, Robert Gwisdek, Franz Dinda, Dirk Borchardt",Germany,12/9/2016,2016,6.4,"Drama, History, TV Movie",de,7.282,41,6.4,,,Average,2016,December,9
Spin Out,"Marc Gracie, Tim Ferguson","Xavier Samuel, Morgan Griffin, Lincoln Lewis, Melissa Bergland, Travis Jeffery",Australia,9/15/2016,2016,5.8,"Comedy, Romance",en,7.28,70,5.8,,,Average,2016,September,9
Interrogation,Stephen Reynolds,"Julia Benson, Adam Copeland, C.J. Perry Barnyashev, Erica Carroll, Patrick Sabongui",United States of America,8/20/2016,2016,5.8,Action,en,7.275,102,5.8,,,Average,2016,August,9
Vampire Sisters 3: Journey to Transylvania,Tim Trachte,"Laura Roge, Marta Martin, Christiane Paul, Stipe Erceg, Michael Kessler",Germany,12/8/2016,2016,6.616,"Adventure, Family, Fantasy",de,7.275,86,6.616,,,Good,2016,December,9
Airlift,Raja Menon,"Akshay Kumar, Nimrat Kaur, Inaamulhaq, Prakash Belawadi, Kumud Mishra",India,1/22/2016,2016,7.1,"Drama, History, Action",hi,7.258,197,7.1,4500000,32000000,Good,2016,January,9
The Truth Beneath,Lee Kyoung-mi,"Son Ye-jin, Kim Joo-hyuk, Choi Yu-hwa, Kim Min-jae, Park Jin-woo",South Korea,6/23/2016,2016,6.9,"Thriller, Drama",ko,7.256,53,6.9,,,Good,2016,June,9
Abattoir,Darren Lynn Bousman,"Jessica Lowndes, Joe Anderson, Lin Shaye, Dayton Callie, Michael Paré",United States of America,11/24/2016,2016,4.4,"Horror, Thriller",en,7.256,139,4.4,,,Poor,2016,November,9
Vincent N Roxxy,Gary Michael Schultz,"Emile Hirsch, Zoë Kravitz, Emory Cohen, Zoey Deutch, Kid Cudi",United States of America,4/18/2016,2016,5.5,"Drama, Crime, Thriller",en,7.248,92,5.5,5000000,,Average,2016,April,9
Salt and Fire,Werner Herzog,"Veronica Ferres, Michael Shannon, Gael García Bernal, Volker Michalowski, Lawrence Krauss","Bolivia, France, Germany, Mexico, United States of America",12/7/2016,2016,4.8,"Drama, Thriller",en,7.247,75,4.8,,,Poor,2016,December,9
Cezanne and I,Danièle Thompson,"Guillaume Gallienne, Guillaume Canet, Alice Pol, Déborah François, Sabine Azéma",France,9/21/2016,2016,5.9,"Drama, History",fr,7.246,112,5.9,,,Average,2016,September,9
Planetarian: Hoshi no Hito,"Katsuichi Nakayama, Shunsuke Machitani, Naokatsu Tsuda","Keiko Suzuki, Daisuke Ono, Sanae Fuku, Yoko Hikasa, Minami Tsuda",Japan,9/3/2016,2016,6.7,"Animation, Drama",ja,7.237,28,6.7,,,Good,2016,September,9
Little Men,Ira Sachs,"Greg Kinnear, Jennifer Ehle, Paulina García, Michael Barbieri, Theo Taplitz","Brazil, Greece, United States of America",8/5/2016,2016,6.579,Drama,en,7.225,152,6.579,,,Good,2016,August,9
National Parks Adventure,Greg MacGillivray,"Robert Redford, Conrad Anker, Max Lowe, Rachel Pohl",Unknown,2/12/2016,2016,6.8,Documentary,en,7.213,30,6.8,,,Good,2016,February,9
A Beautiful Planet,Toni Myers,"Jennifer Lawrence, Samantha Cristoforetti, Scott Kelly, Kjell Lindgren",United States of America,4/16/2016,2016,7,"Documentary, Adventure, Family",en,7.21,70,7,,24000000,Good,2016,April,9
Last Call for Nowhere,Philippe de Chauveron,"Slimane Dazi, Reem Kherici, Medi Sadoun, Loïc Legendre, Ary Abittan","France, Malta",7/13/2016,2016,5.7,Comedy,fr,7.201,263,5.7,,,Average,2016,July,9
The Untamed,Amat Escalante,"Ruth Ramos, Simone Bucio, Jesús Meza, Eden Villavicencio, Kenny Johnston","Germany, Mexico",5/15/2016,2016,5.989,"Science Fiction, Drama, Thriller, Horror",es,7.19,182,5.989,,,Average,2016,May,9
The Queen of Spain,Fernando Trueba,"Penélope Cruz, Antonio Resines, Neus Asensi, Cary Elwes, Mandy Patinkin",Spain,11/25/2016,2016,5.1,Comedy,es,7.184,88,5.1,11800000,1236731,Average,2016,November,9
Bijin tsuma kakusei: Yaburareta teisô,Kazuyoshi Sekine,"Sumire Mizukawa, Mai Tamaki, Rin Ogawa, Atsushi Tsuda, Sousuke Yamamoto",Japan,10/7/2016,2016,2,Drama,ja,7.171,2,2,,,Poor,2016,October,9
The Call Up,Charles Barker,"Max Deacon, Morfydd Clark, Ali Cook, Chris Obi, Tom Benedict Knight",United Kingdom,5/20/2016,2016,5.1,"Adventure, Action, Science Fiction",en,7.17,134,5.1,,,Average,2016,May,9
Back to Mom's,Eric Lavaine,"Alexandra Lamy, Josiane Balasko, Mathilde Seigner, Philippe Lefebvre, Jérôme Commandeur","Belgium, France",6/1/2016,2016,5.651,Comedy,fr,7.168,453,5.651,8600000,,Average,2016,June,9
Zip & Zap and the Captain's Island,Oskar Santos,"Elena Anaya, Teo Planell, Toni Gómez, Iria Castellano, Goizalde Núñez",Spain,7/29/2016,2016,6.2,"Adventure, Comedy",es,7.167,62,6.2,,,Average,2016,July,9
Worry Dolls,Padraig Reynolds,"Christopher Wiehl, Kym Jackson, Samantha Smith, Brea Grant, Tina Lifford",United States of America,6/27/2016,2016,5.3,"Horror, Thriller",en,7.146,110,5.3,,,Average,2016,June,9
All Things Valentine,Gary Harvey,"Sarah Rafferty, Sam Page, Jeremy Guilbaut, Heather Doerksen, Kimberley Sustad",United States of America,1/31/2016,2016,5.878,"Romance, Comedy, TV Movie",en,7.141,82,5.878,,,Average,2016,January,9
Emelie,Michael Thelin,"Sarah Bolger, Susan Pourfar, Chris Beetem, Joshua Rush, Thomas Bair",United States of America,3/4/2016,2016,5.2,"Horror, Thriller",en,7.14,644,5.2,,,Average,2016,March,9
Beta Test,Nicholas Gyeney,"Manu Bennett, Larenz Tate, Linden Ashby, Kevon Stover, Sara Coates",United States of America,7/22/2016,2016,5.3,"Thriller, Action, Science Fiction",en,7.136,191,5.3,1600000,,Average,2016,July,9
Black Mountain Side,Nick Szostakiwskyj,"Shane Twerdun, Michael Dickson, Carl Toftfelt, Marc Anthony Williams, Timothy Lyle",Canada,1/26/2016,2016,5.2,"Thriller, Horror, Mystery",en,7.135,121,5.2,,,Average,2016,January,9
Ares,Jean-Patrick Benes,"Ola Rapace, Micha Lescot, Ruth Vega Fernandez, Thierry Hancisse, Hélène Fillières",France,11/23/2016,2016,6.1,"Science Fiction, Drama, Thriller",fr,7.129,322,6.1,,,Average,2016,November,9
Gimme Danger,Jim Jarmusch,"Iggy Pop, Ron Asheton, Scott Asheton, James Williamson, Dave Alexander",United States of America,8/5/2016,2016,6.8,"Documentary, Music",en,7.121,130,6.8,,,Good,2016,August,9
O.J.: Made in America,Ezra Edelman,"O. J. Simpson, Nicole Brown Simpson, Marcia Clark, Danny Bakewell Sr., F. Lee Bailey",United States of America,5/20/2016,2016,8.4,"Documentary, Crime, History",en,7.121,229,8.4,,,Excellent,2016,May,9
Manner Teacher,No Zin-soo,"Kim Min-ki, Son Bi-ya, Jo Yoo-jin, Ra Hee-jeong, Hwang Ji-hoo",Unknown,9/22/2016,2016,6,Comedy,ko,7.114,4,6,,,Average,2016,September,9
Love on the Sidelines,Terry Ingram,"Emily Kinney, John Reardon, Joe Theismann, Luisa d'Oliveira, Elise Gatien","Canada, United States of America",1/16/2016,2016,6.3,"TV Movie, Romance, Comedy",en,7.108,101,6.3,,,Average,2016,January,9
We Are Pregnant,Juana Macías,"Alexandra Jiménez, Paco León, Elisa Mouliaá, Karra Elejalde, Ingrid García Jonsson",Spain,1/29/2016,2016,5.3,"Comedy, Drama, Romance",es,7.107,97,5.3,,,Average,2016,January,9
Even Though I Don't Like It,Kōta Yoshida,"Rico Tamaki, Takuya Negishi, Ryôsuke Kawamura, Hiroshi Kanbe, Tomoko Fujita",Japan,9/3/2016,2016,5,"Romance, Drama, Fantasy",ja,7.091,14,5,,,Poor,2016,September,9
The Broken Crown,Jordi Frades,"Rodolfo Sancho, Irene Escolar, Raúl Mérida, Eusebio Poncela, Ramón Madaula",Spain,2/19/2016,2016,6.6,"Drama, History",es,7.075,50,6.6,869115,1018486,Good,2016,February,9
Scribe,Thomas Kruithof,"François Cluzet, Denis Podalydès, Sami Bouajila, Simon Abkarian, Alba Rohrwacher","France, Belgium",10/19/2016,2016,5.928,"Action, Thriller",fr,7.074,166,5.928,5200000,,Average,2016,October,9
KanColle Movie,Keizo Kusakawa,"Sumire Uesaka, Saki Fujita, Yuka Iguchi, Ayane Sakura, Ayana Taketatsu",Japan,11/26/2016,2016,5.2,"Action, Animation, Science Fiction, TV Movie, War",ja,7.073,21,5.2,,,Average,2016,November,9
Jailbirds,Audrey Estrougo,"Sophie Marceau, Suzanne Clément, Anne Le Ny, Alice Belaïdi, Eye Haïdara",France,9/14/2016,2016,5.678,Drama,fr,7.053,87,5.678,,,Average,2016,September,9
Who Gets the Dog?,Huck Botko,"Alicia Silverstone, Ryan Kwanten, Randall Batinkoff, Matty Ryan, Rachel Cerda",United States of America,9/13/2016,2016,5.1,"Drama, Comedy, Romance, TV Movie",en,7.044,73,5.1,,,Average,2016,September,9
Hot Bot,Michael Polish,"Cynthia Kirchner, Doug Haley, Zack Pearlman, Larry Miller, Danny Masterson",United States of America,3/1/2016,2016,4.3,"Comedy, Science Fiction",en,7.044,198,4.3,,,Poor,2016,March,9
The Odyssey,Jérôme Salle,"Lambert Wilson, Pierre Niney, Audrey Tautou, Laurent Lucas, Benjamin Lavernhe",France,10/12/2016,2016,6.7,"Adventure, Drama",fr,7.043,415,6.7,20000000,9722918,Good,2016,October,9
